x		100			400			1000		3200		5000
0.0000	None		None		None		None		None
0.0625	40.0110		53.6863		75.5980		126.670		146.702
0.1250	22.5378		34.6351		51.0557		89.3391		103.436
0.1875	16.2862		26.5825		40.5437		75.6401		91.5682
0.2500	12.7844		21.0985		32.2953		61.7864		77.9509
0.3125	10.4199		16.8900		25.4341		47.1443		60.0065
0.3750	8.69628		13.7040		20.2666		35.8795		45.8622
0.4375	7.43218		11.4537		16.8350		28.9413		37.3609
0.5000	6.57451		10.0545		14.8901		25.3889		33.0115
0.5625	6.13973		9.38889		14.0928		24.1457		31.3793
0.6250	6.18946		9.34599		14.1374		24.4639		31.5791
0.6875	6.82674		9.88979		14.8061		25.8572		33.0486
0.7500	8.22110		11.2018		16.0458		27.9514		35.3504
0.8125	10.7414		13.9068		18.3120		30.4779		38.0436
0.8750	15.6591		19.6859		23.8707		34.2327		41.3394
0.9375	30.7923		35.0773		42.1124		49.9664		56.7091
1.0000	None		None		None		None		None
